Start station,End station,Date,Total duration (m),Total duration (m)_scaled,Same Start-End,Bike Model Encoded,Weather Description,temperature_2m_scaled,apparent_temperature_scaled,wind_speed_10m_scaled,relative_humidity_2m_scaled,Day_of_Month,Day_of_Week,Hour_of_Day,is_Weekend,Time_of_Day,is_Rainy
"Knightsbridge, Hyde Park","Foley Street, Fitzrovia",2023-08-18 19:00:00,24.0,0.5116279069767442,False,0,Overcast,0.7138047138047139,0.7735680010680945,0.5575099516068333,0.7653647557967699,18,5,19,0,Evening,0
"King Edward Street, St Pauls","Clerkenwell Green, Clerkenwell",2023-08-18 19:00:00,7.0,0.11627906976744187,False,0,Overcast,0.7138047138047139,0.7735680010680945,0.5575099516068333,0.7653647557967699,18,5,19,0,Evening,0
"Warwick Road, Olympia","Halford Road, West Kensington",2023-08-21 10:00:00,9.0,0.1627906976744186,False,0,Cloudy,0.7407407407407407,0.7115123945341626,0.4836410136431734,0.3553190905323528,21,1,10,0,Morning,0
"Hatton Wall, Holborn","Shoreditch High Street, Shoreditch",2023-08-14 10:00:00,8.0,0.13953488372093023,False,0,Overcast,0.6936026936026938,0.6243630185886897,0.8138037571110821,0.5319494728351418,14,1,10,0,Morning,0
"Millbank Tower, Pimlico","Archbishop's Park, Waterloo",2023-08-25 12:00:00,4.0,0.046511627906976744,False,0,Partly Cloudy,0.6498317171717172,0.6096123405637139,0.3504213225416936,0.04920449341582478,25,5,12,0,Afternoon,0
"Wenlock Road , Hoxton","Liverpool Road (N1 Centre), Angel",2023-08-25 12:00:00,7.0,0.11627906976744187,False,0,Partly Cloudy,0.6498317171717172,0.6096123405637139,0.3504213225416936,0.04920449341582478,25,5,12,0,Afternoon,0
"George Row, Bermondsey","Houndsditch, Aldgate",2023-08-25 12:00:00,8.0,0.13953488372093023,False,0,Partly Cloudy,0.6498317171717172,0.6096123405637139,0.3504213225416936,0.04920449341582478,25,5,12,0,Afternoon,0
"Rodney Road , Walworth","Moorfields, Moorgate",2023-08-09 19:00:00,17.0,0.34883720930232553,False,0,Clear Sky,0.7441077441077442,0.8135763398984177,0.20349042432300257,0.4615525656896228,9,3,19,0,Evening,0
"Wormwood Street, Liverpool Street","Westferry DLR, Limehouse",2023-08-12 23:00:00,25.0,0.5348837209302326,False,0,Overcast,0.36363636363636376,0.38159121175537464,0.5375212932415759,0.8270301410288695,12,6,23,1,Night,0
"Hermitage Court, Wapping","Guilford Street , Bloomsbury",2023-08-30 11:00:00,26.0,0.5581395348837209,False,0,Drizzle,0.5353535353535352,0.44294978485365183,0.5917725041442523,0.21716651498212425,30,3,11,0,Morning,1
"Bruton Street, Mayfair","Nutford Place, Marylebone",2023-08-03 22:00:00,8.0,0.13953488372093023,False,1,Partly Cloudy,0.32996632996633,0.3791223748807728,0.3189639526697426,0.730408819823193,3,4,22,0,Night,0
"Chicheley Street, South Bank","Caldwell Street, Stockwell",2023-08-06 11:00:00,14.0,0.2790697674418605,False,0,Drizzle,0.4814815488215489,0.3759377224018094,0.686170814117222,0.2926378319459638,6,7,11,1,Morning,1
"Bonner Gate, Victoria Park","Moorfields, Moorgate",2023-08-23 08:00:00,19.0,0.39534883720930236,False,0,Partly Cloudy,0.5016835016835017,0.6202965659180577,0.09661591356686695,0.6972412956835862,23,3,8,0,Morning,0
"Jubilee Street, Stepney","Upper Bank Street, Canary Wharf",2023-08-23 08:00:00,13.0,0.2558139534883721,False,0,Partly Cloudy,0.5016835016835017,0.6202965659180577,0.09661591356686695,0.6972412956835862,23,3,8,0,Morning,0
"Maplin Street, Mile End","Ackroyd Drive, Bow",2023-08-30 21:00:00,4.0,0.046511627906976744,False,0,Cloudy,0.26936026936026936,0.3157869219533003,0.1722501852979162,0.546491734191828,30,3,21,0,Night,0
"Shoreditch High Street, Shoreditch","The Blue, Bermondsey",2023-08-26 16:00:00,20.0,0.41860465116279066,False,0,Partly Cloudy,0.5151515824915824,0.47397922873173964,0.49980230639630224,0.4178699048540385,26,6,16,1,Afternoon,0
