date,temperature_2m,relative_humidity_2m,apparent_temperature,weather_code,wind_speed_10m
2023-08-04 22:00:00+00:00,16.1065,74.177315,15.607939,6.6087217,240.64233
2023-08-04 23:00:00+00:00,15.606501,76.58585,15.143024,6.3690495,227.29063
2023-08-05 00:00:00+00:00,15.5565,74.82325,14.842064,7.24486,243.43501
2023-08-05 01:00:00+00:00,14.8065,80.09256,14.015324,8.404285,223.26433
2023-08-05 02:00:00+00:00,14.2565,83.26284,13.860041,5.8048253,209.7448
2023-08-05 03:00:00+00:00,14.3065,81.361595,13.58181,7.42159,202.8337
2023-08-05 04:00:00+00:00,14.0565,80.7901,12.639872,11.440979,204.14554
2023-08-05 05:00:00+00:00,13.7065,80.74279,12.116669,11.91812,205.01686
2023-08-05 06:00:00+00:00,13.606501,84.01821,12.400137,10.30883,204.77512
2023-08-05 07:00:00+00:00,13.7065,86.85826,12.818819,9.3876505,175.60138
2023-08-05 08:00:00+00:00,14.356501,84.10384,12.152821,18.733839,177.79745
2023-08-05 09:00:00+00:00,14.4065,84.66611,12.748781,15.315873,150.42226
2023-08-05 10:00:00+00:00,14.7565,85.54357,12.343245,21.603,156.42528
2023-08-05 11:00:00+00:00,14.5565,87.51163,11.988813,23.000591,140.07967
2023-08-05 12:00:00+00:00,15.6565,83.97586,13.845289,18.844202,173.41815
2023-08-05 13:00:00+00:00,17.3065,81.7494,17.282938,9.47012,188.74608
2023-08-05 14:00:00+00:00,18.456501,77.783844,19.490242,3.096837,215.53777
2023-08-05 15:00:00+00:00,18.0065,80.79,18.667805,6.0347,342.64587
2023-08-05 16:00:00+00:00,18.456501,78.540535,18.693584,8.942214,319.89914
2023-08-05 17:00:00+00:00,16.706501,81.67275,14.574356,22.461807,338.36905
2023-08-05 18:00:00+00:00,15.9065,83.45787,12.841352,27.792374,343.44284
2023-08-05 19:00:00+00:00,14.7065,84.97802,11.036963,29.882166,338.07034
2023-08-05 20:00:00+00:00,13.9565,83.227036,10.270325,27.729347,330.43973
2023-08-05 21:00:00+00:00,13.6565,81.27602,10.207584,24.766848,327.46497
2023-08-05 22:00:00+00:00,13.5565,82.07924,10.542,21.889065,323.6954
2023-08-05 23:00:00+00:00,13.2565,83.69889,10.11339,22.771244,320.77435
2023-08-06 00:00:00+00:00,12.9065,85.91947,9.531323,24.464113,327.01147
2023-08-06 01:00:00+00:00,12.2065,81.35671,8.635422,22.89611,323.31018
2023-08-06 02:00:00+00:00,11.2565,82.61934,7.9423304,19.862083,313.53125
2023-08-06 03:00:00+00:00,10.8065,83.126144,7.5684576,18.723461,307.97165
2023-08-06 04:00:00+00:00,10.5065,86.25376,7.431717,18.043148,298.61035
2023-08-06 05:00:00+00:00,10.5065,88.921265,7.574169,17.873556,297.5972
2023-08-06 06:00:00+00:00,11.6565,85.790665,8.745545,18.837322,296.0753
2023-08-06 07:00:00+00:00,13.2565,79.8757,10.027728,21.9718,304.9921
2023-08-06 08:00:00+00:00,14.6565,71.73018,11.03305,24.195107,313.19128
2023-08-06 09:00:00+00:00,15.9065,64.01063,12.258553,23.419376,315.0001
2023-08-06 10:00:00+00:00,16.8065,58.836384,13.348331,21.382906,315.0001
2023-08-06 11:00:00+00:00,17.206501,59.532116,14.07692,21.533897,308.21106
2023-08-06 12:00:00+00:00,17.5065,59.20537,14.714067,19.469976,303.6901
2023-08-06 13:00:00+00:00,17.9065,63.815647,15.757822,18.998316,297.0505
2023-08-06 14:00:00+00:00,17.706501,64.409996,15.673098,16.299694,300.52963
2023-08-06 15:00:00+00:00,18.5565,59.260662,16.03629,18.289274,306.1933
2023-08-06 16:00:00+00:00,18.456501,55.96031,15.48704,19.513195,307.5042
2023-08-06 17:00:00+00:00,18.5065,54.48754,15.57037,18.626305,311.08167
2023-08-06 18:00:00+00:00,17.706501,59.85261,15.608599,14.113652,322.25314
2023-08-06 19:00:00+00:00,16.456501,67.43245,15.307819,8.78872,325.0079
2023-08-06 20:00:00+00:00,14.7065,74.42983,13.739702,7.145796,319.0857
